Year,Month,Day,Unit,Rep,Height_cm
2021,9,21,111,3,91
2021,9,21,117,1,83
2021,9,21,117,2,93.5
2021,9,21,117,3,87
2021,9,21,118,1,77.5
2021,9,21,118,2,103.5
2021,9,21,118,3,91
2021,9,21,203,1,94.5
2021,9,21,203,2,87
2021,9,21,203,3,92
2021,9,21,207,1,91.5
2021,9,21,207,3,74
2021,9,21,208,1,98
2021,9,21,208,2,103
2021,9,21,208,3,97.5
2021,9,21,211,1,88
2021,9,21,211,2,94
2021,9,21,211,3,93.5
2021,9,21,212,1,67
2021,9,21,212,2,68
2021,9,21,212,3,78.5
2021,9,21,216,1,75.5
2021,9,21,216,3,82.5
2021,9,21,305,1,91
2021,9,21,305,2,80
2021,9,21,305,3,102
2021,9,21,306,1,81
2021,9,21,306,2,103
2021,9,21,306,3,101
2021,9,21,308,1,82
2021,9,21,308,2,77
2021,9,21,308,3,105
2021,9,21,311,1,67
2021,9,21,311,2,68
2021,9,21,311,3,75
2021,9,21,316,1,102
2021,9,21,316,2,96
2021,9,21,316,3,90
2021,9,21,318,1,102
2021,9,21,318,2,80
2021,9,21,318,3,79
2021,9,21,402,1,68
2021,9,21,402,2,75
2021,9,21,402,3,80
2021,9,21,404,1,87
2021,9,21,404,2,69
2021,9,21,404,3,90
2021,9,21,410,1,80
2021,9,21,410,2,84
2021,9,21,410,3,84
2021,9,21,416,1,95
2021,9,21,416,2,108
2021,9,21,416,3,99
2021,9,21,417,1,81
2021,9,21,417,2,81
2021,9,21,417,3,80
2021,9,21,418,1,68
2021,9,21,418,2,90
2021,9,21,418,3,62
