Year,Month,Day,Unit,Rep,Height_cm
2021,6,3,414,1,9
2021,6,3,414,2,7.5
2021,6,3,414,3,8.5
2021,6,3,414,4,10.5
2021,6,3,414,5,9
2021,6,3,414,6,5
2021,6,3,414,7,4.5
2021,6,3,414,8,9
2021,6,3,414,9,6.5
2021,6,3,414,10,10.5
2021,6,3,415,1,12
2021,6,3,415,2,9.5
2021,6,3,415,3,13
2021,6,3,415,4,12
2021,6,10,102,1,17
2021,6,10,102,2,21.5
2021,6,10,102,3,16
2021,6,10,102,4,14
2021,6,10,102,5,17
2021,6,10,102,6,15.5
2021,6,10,102,7,8.5
2021,6,10,102,8,16.5
2021,6,10,102,9,18.5
2021,6,10,102,10,40.5
2021,6,10,105,1,18
2021,6,10,105,2,22
2021,6,10,105,3,19
2021,6,10,105,4,19
2021,6,10,105,5,10
2021,6,10,105,6,6.5
2021,6,10,105,7,11.5
2021,6,10,105,8,13
2021,6,10,105,9,14
2021,6,10,105,10,5
2021,6,10,106,1,13
2021,6,10,106,2,24
2021,6,10,106,3,9
2021,6,10,106,4,20
2021,6,10,106,5,14
2021,6,10,106,6,13
2021,6,10,106,7,16.5
2021,6,10,106,8,14.5
2021,6,10,106,9,12
2021,6,10,106,10,16.5
2021,6,10,107,1,25
2021,6,10,107,2,18
2021,6,10,107,3,21.5
2021,6,10,107,4,26
2021,6,10,107,5,16
2021,6,10,107,6,11
2021,6,10,107,7,17
2021,6,10,107,8,11.5
2021,6,10,107,9,15.5
2021,6,10,107,10,16
2021,6,10,110,1,13
2021,6,10,110,2,12
2021,6,10,110,3,11.5
2021,6,10,110,4,16.5
2021,6,10,110,5,21
2021,6,10,110,6,22
2021,6,10,110,7,17
2021,6,10,110,8,22.5
2021,6,10,110,9,12
2021,6,10,110,10,11
2021,6,10,113,1,13
2021,6,10,113,2,22
2021,6,10,113,3,8
2021,6,10,113,4,25.5
2021,6,10,113,5,18
2021,6,10,113,6,21
2021,6,10,113,7,23
2021,6,10,113,8,16
2021,6,10,113,9,11
2021,6,10,113,10,26
2021,6,10,204,1,8.5
2021,6,10,205,1,20.5
2021,6,10,205,2,9.5
2021,6,10,205,3,20.5
2021,6,10,205,4,18
2021,6,10,205,5,27
2021,6,10,205,6,8.5
2021,6,10,205,7,15.5
2021,6,10,205,8,8.5
2021,6,10,205,9,15.5
2021,6,10,205,10,14
2021,6,10,209,1,17
2021,6,10,209,2,14.5
2021,6,10,209,3,11.5
2021,6,10,209,4,15.5
2021,6,10,209,5,8
2021,6,10,209,6,5.5
2021,6,10,209,7,18
2021,6,10,209,8,17.5
2021,6,10,209,9,15.5
2021,6,10,209,10,12.5
2021,6,10,214,1,26.5
2021,6,10,214,2,24.5
2021,6,10,214,3,20
2021,6,10,214,4,8
2021,6,10,214,5,23
2021,6,10,214,6,17
2021,6,10,214,7,14.5
2021,6,10,214,8,18
2021,6,10,215,1,12.5
2021,6,10,215,2,9.5
2021,6,10,215,3,19.5
2021,6,10,215,4,17.5
2021,6,10,215,5,9.5
2021,6,10,215,6,12.5
2021,6,10,215,7,13.5
2021,6,10,215,8,9
2021,6,10,215,9,18.5
2021,6,10,215,10,17.5
2021,6,10,218,1,13
2021,6,10,218,2,11
2021,6,10,218,3,19
2021,6,10,218,4,16
2021,6,10,218,5,16.5
2021,6,10,218,6,15
2021,6,10,218,7,19
2021,6,10,218,8,18
2021,6,10,218,9,26
2021,6,10,218,10,19
2021,6,10,302,1,14.5
2021,6,10,302,2,13.5
2021,6,10,302,3,5.5
2021,6,10,302,4,10
2021,6,10,302,5,16.5
2021,6,10,302,6,15
2021,6,10,302,7,16.5
2021,6,10,302,8,11
2021,6,10,303,1,34
2021,6,10,303,2,19.5
2021,6,10,303,3,24
2021,6,10,303,4,28
2021,6,10,303,5,23
2021,6,10,303,6,5.5
2021,6,10,303,7,13.5
2021,6,10,303,8,12
2021,6,10,303,9,17.5
2021,6,10,303,10,8.5
2021,6,10,309,1,41.5
2021,6,10,309,2,43
2021,6,10,309,3,44.5
2021,6,10,310,1,12
2021,6,10,310,2,9
2021,6,10,310,3,10.5
2021,6,10,310,4,8
2021,6,10,310,5,12
2021,6,10,310,6,11.5
2021,6,10,310,7,14.5
2021,6,10,310,8,6.5
2021,6,10,310,9,19
2021,6,10,310,10,8
2021,6,10,312,1,26
2021,6,10,312,2,11
2021,6,10,312,3,6
2021,6,10,312,4,14
2021,6,10,312,5,13
2021,6,10,312,6,23.5
2021,6,10,312,7,14
2021,6,10,312,8,16.5
2021,6,10,312,9,13.5
2021,6,10,312,10,12.5
2021,6,10,315,1,21.5
2021,6,10,315,2,12
2021,6,10,315,3,14
2021,6,10,315,4,13
2021,6,10,315,5,21.5
2021,6,10,315,6,14.5
2021,6,10,315,7,26
2021,6,10,315,8,14
2021,6,10,315,9,18
2021,6,10,315,10,13
2021,6,10,317,1,20
2021,6,10,317,2,12
2021,6,10,317,3,14
2021,6,10,317,4,18
2021,6,10,317,5,6
2021,6,10,317,6,19.5
2021,6,10,317,7,20
2021,6,10,317,8,14.5
2021,6,10,317,9,15.5
2021,6,10,317,10,26.5
2021,6,10,401,1,28
2021,6,10,401,2,14
2021,6,10,401,3,10
2021,6,10,401,4,17.5
2021,6,10,401,5,11.5
2021,6,10,401,6,11
2021,6,10,401,7,10
2021,6,10,401,8,10
2021,6,10,401,9,7
2021,6,10,401,10,13
2021,6,10,406,1,21.5
2021,6,10,406,2,19
2021,6,10,406,3,14
2021,6,10,406,4,22
2021,6,10,406,5,15
2021,6,10,412,1,21
2021,6,10,412,2,21.5
2021,6,10,412,3,13.5
2021,6,10,412,4,23.5
2021,6,10,412,5,26
2021,6,10,412,6,15
2021,6,10,412,7,14.5
2021,6,10,412,8,21.5
2021,6,10,413,1,13.5
2021,6,10,413,2,15
2021,6,10,413,3,9.5
2021,6,10,413,4,18.5
2021,6,10,413,5,28
2021,6,10,413,6,15.5
2021,6,10,413,7,16.5
2021,6,10,413,8,9.5
2021,6,10,413,9,17
2021,6,10,413,10,19
2021,6,10,414,1,28
2021,6,10,414,2,20.5
